n	code	name	desc	level	format_excel	format_db	comment	edit_rem
1	number	номер строки таблицы	уникальный номер записи	А	натуральное число	номер или уникальный идентификатор uuid	целое или буквенный код - обсуждается, заполняется подряд, при удалении строк - не пересчитывается	
2	song_name	название песни		А	строка	строка		
3	song_line1	1ая строка песни		А	строка	строка		
4	singer	исполнитель		А	строка	ссылка на персону/ группу		
5	song_author	автор произведения		А	строка	ссылка на персону/ группу		
6	music	автор музыки		А	строка	ссылка на персону/ группу		
7	verses	автор слов		А	строка	ссылка на персону/ группу		
8	dt_exec	дата исполнения		А	дата ДД.ММ.ГГГГ	datetime+tz ISO8601 ГГГГ-ММ-ДД ЧЧ:ММ +03	м.б. текст	
9	place_exec	место исполнения		А	строка	строка		
10	event_name	название события	на котором исполнено произведение	А	строка	ссылка на событие		
11	event_type	тип события		А	строка	ссылка на тип события		
12	record_type	тип записи	аудио или видео	А	строка	ссылка на тип записи		
13	work_type	тип произведения	стих, песня, музыка	А	строка	ссылка на тип произведения		
14	access_rights	права доступа		А	строка	строка	кодом и(или) описательно: всем ли можно раздавать; если есть ограничения, то от кого и какие; на какие фрагменты есть ограничения	
15	record_maker	автор записи	кто сделал запись (или обработал)	Б	строка	ссылка на персону/ оранизацию		
16	dt_record	дата-время записи	(или копирования, обработки)	Б	дата ДД.ММ.ГГГГ	datetime+tz ISO8601 ГГГГ-ММ-ДД ЧЧ:ММ +03	м.б. текст	
17	quality	качество	по школьной 5ти бальной шкале, можно с плюсами и минусами, на вкус описывающего, чисто для первичного ориентирования, очень помогает в некоторых случаях	Б	строка	строка	или 10-балльная, или "плохое", "норм", "хорошее"?	
18	record_owner	владелец записи	юридический владелец	Б	строка	ссылка на персону/ организацию	д.б. список персон (таблица)	
19	record_store	хранитель записи	физический хранитель	Б	строка	ссылка на персону/ организацию		
20	archive_owner	владелец архива	из которого взята запись	Б	строка	ссылка на персону/ организацию		
21	device_no	номер носителя	в нумерации владельца записи, на котором находится данная в строке запись (по первой строке)	Б	строка	строка		
22	file_name	имя файла	в котором находится данная в строке запись	Б	строка	строка		
23	timer	таймер	в каком месте файла конкретная запись	Б	строка	строка	м.б. смещение в секундах?, число	
24	name_filled	кто заполнил строку		Б	строка	ссылка на персону/ группу		
25	dt_filled	дата заполнения строки		Б	дата ДД.ММ.ГГГГ	datetime+tz ISO8601 ГГГГ-ММ-ДД ЧЧ:ММ +03	м.б. текст	
26	record_length	продолжительность записи		Б	строка	натуральное число	в секундах	
27	address	адрес	по которому можно взять сам файл, а также картинки коробки с носителем, с которого цифровалось и фото вкладышей с описями, фото описей.	В	строка	строка	географический?	? дубль с п.10?
28	rem_line1	примечание к первой строке и/или названию		В	строка	строка	(в это поле можно вписывать дату написания произведения)	
29	rem_singer	примечание к исполнителю		В	строка	строка		
30	rem_song_author	примечание к автору		В	строка	строка		
31	rem_music	примечание к автору музыки		В	строка	строка		
32	rem_verses	примечание к автору слов		В	строка	строка		
33	file_ext	расширение имения файла		В	строка	строка	mp3, mp4, wav,...	
34	line1_main	первая строка, каноническая		В	строка	строка		
35	singer_comment	коментарии исполнителя		В	строка	строка		
36	song_name_main	название произведения, каноническое		В	строка	строка		
37	etc	прочее	куда вписывается любая информация, касающаяся любого поля данной конкретной строки, информация, которая по мнению заполняющего достаточно ценна, но для которой не нашлось поля..	В	строка	строка	куда вписывается любая информация, касающаяся любого поля данной конкретной строки, информация, которая по мнению заполняющего достаточно ценна, но для которой не нашлось поля..	
38	date_work	дата написания произведения		В	дата ДД.ММ.ГГГГ	datetime+tz ISO8601 ГГГГ-ММ-ДД ЧЧ:ММ +03	м.б. текст	
39	operator_name	оператор записи	кто работал с диктофоном, видеокамерой, пультом	В	строка	ссылка на персону/ организацию		
40	achive_notes	описи архивиста	все записи, пометки архивиста, откуда взята запись	В	строка	строка		
41	copy_dt	дата копирования или обработки		В	дата ДД.ММ.ГГГГ	datetime+tz ISO8601 ГГГГ-ММ-ДД ЧЧ:ММ +03	м.б. текст	
42	copy_type	тип копирования или обработки	и	В	строка	ссылка на тип копирования		
43	copy_maker	кто копировал или обработал		В	строка	ссылка на персону/ организацию		
44	orig_notes	примечание к исходному материалу	с которого копировалось или обрабатывалось	В	строка	строка		
45	year	год привязки	только год	В	натуральное число	year		
46	sound_desc	оосбенности звука	описательно (частотка, поканалка, баланс инструментов, ревер, пропадание звука, шумы,	В	строка	строка		
47	songer_desc	особенности исполнения	описательно (записано не с начала или не до конца; ошибся и бросил петь, пропустил куплет, ошибка в слове, а также: первое исполнение, новый вариант слов или аккомпанемента, уникальный состав исполнителей...)	В	строка	строка		
48	video_desc	особенности видео	описательно: качество, что-кто в кадре, как видно гитару, нет ли брака съёмки	В	строка	строка		
49	support	аккомпанемент	кто и что помогает	В	строка	строка		
50	name_coded	название, приведённое	для БД, кодированный текст, индекс	Г	-	строка	abysksazaltebe	
51	line1_coded	1 строка, приведённая	для БД, кодированный текст, индекс	Г	-	строка	abysksazaltebe	
52	music_coded	автор музыки, приведённый	для БД, кодированный текст, индекс	Г	-	строка	vihorev	
53	author_coded	автор песни, приведённый	для БД, кодированный текст, индекс	Г	-	строка	vihorev	
54	verses_coded	автор текста, приведённый	для БД, кодированный текст, индекс	Г	-	строка	vihorev	